Annual Total,Coal Consumption,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Petroleum Consumption (Excluding Biofuels),Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Biomass Energy Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption
1949,11.980905,5.145142,11.882722,29.002099,0,1.424722,0,0,0,1.549262,2.973984,31.981503
1950,12.347109,5.968371,13.315484,31.631956,0,1.415411,0,0,0,1.562307,2.977718,34.615768
1951,12.552996,7.048518,14.428043,34.008105,0,1.423795,0,0,0,1.534669,2.958464,36.97403
1952,11.306479,7.549621,14.955682,33.799903,0,1.465812,0,0,0,1.474369,2.940181,36.747824
1953,11.372684,7.906645,15.555829,34.826156,0,1.412859,0,0,0,1.418601,2.83146,37.664468
1954,9.714667,8.330202,15.839176,33.8773,0,1.359772,0,0,0,1.394327,2.754099,36.639382
1955,11.167259,8.997935,17.254955,37.410105,0,1.359844,0,0,0,1.424143,2.783987,40.207971
1956,11.349723,9.613975,17.937473,38.888151,0,1.434711,0,0,0,1.415871,2.850582,41.754252
1957,10.820631,10.190753,17.931667,38.925592,0.000112,1.515613,0,0,0,1.333581,2.849194,41.787186
1958,9.533287,10.663199,18.526937,38.716702,0.001915,1.591967,0,0,0,1.323123,2.91509,41.645027
1959,9.518353,11.717422,19.32265,40.550068,0.002187,1.548465,0,0,0,1.352874,2.901339,43.465721
1960,9.837785,12.385366,19.91923,42.136751,0.006026,1.607975,0.000359,0,0,1.31987,2.928204,45.086455
1961,9.623351,12.926392,20.216387,42.758243,0.019678,1.656463,0.001001,0,0,1.294762,2.952226,45.737836
1962,9.906454,13.730841,21.048981,44.68077,0.026394,1.816141,0.001061,0,0,1.300242,3.117444,47.826437
1963,10.412538,14.403306,21.700828,46.509283,0.038147,1.771355,0.00176,0,0,1.323316,3.096431,49.644195
1964,10.964385,15.28785,22.301257,48.54305,0.039819,1.886314,0.002132,0,0,1.336802,3.225248,51.814788
1965,11.580608,15.768667,23.24568,50.576504,0.043164,2.059077,0.001978,0,0,1.334761,3.395816,54.015002
1966,12.14308,16.995332,24.400523,53.513987,0.064158,2.061519,0.001958,0,0,1.368985,3.432462,57.014332
1967,11.91375,17.944788,25.283661,55.126873,0.088456,2.346664,0.0033,0,0,1.340249,3.690213,58.904522
1968,12.330677,19.209656,26.979447,58.50247,0.141534,2.348629,0.004532,0,0,1.419495,3.772656,62.414508
1969,12.38154,20.677984,28.338336,61.361751,0.153722,2.647983,0.006422,0,0,1.440487,4.094892,65.614021
1970,12.264528,21.794707,29.520695,63.522269,0.239347,2.633547,0.005511,0,0,1.430962,4.070021,67.838325
1971,11.598411,22.469052,30.56129,64.595645,0.412939,2.824151,0.005739,0,0,1.432323,4.262213,69.282843
1972,12.076917,22.69819,32.946738,67.69588,0.583752,2.863865,0.015079,0,0,1.503065,4.382009,72.687868
1973,12.97149,22.512399,34.837435,70.31386,0.910177,2.861448,0.020422,0,0,1.529068,4.410938,75.68369
1974,12.662878,21.732488,33.45366,67.905124,1.272083,3.17658,0.02561,0,0,1.539662,4.741852,73.962369
1975,12.662786,19.947883,32.732323,65.356532,1.899798,3.154607,0.03378,0,0,1.498734,4.68712,71.964553
1976,13.584067,20.345426,35.177782,69.107176,2.111121,2.976265,0.037513,0,0,1.713373,4.727151,75.974826
1977,13.922103,19.930513,37.12398,70.991179,2.701762,2.333252,0.037382,0,0,1.838332,4.208966,77.96133
1978,13.765575,20.0004,37.962821,71.853522,3.024126,2.936983,0.030851,0,0,2.037605,5.00544,79.950406
1979,15.039586,20.665817,37.122274,72.890521,2.775827,2.930686,0.040262,0,0,2.151906,5.122854,80.858584
1980,15.422809,20.235459,34.20452,69.827758,2.739169,2.900144,0.052699,0,0,2.4755,5.428342,78.066668
1981,15.907526,19.74731,31.932206,67.571093,3.007589,2.757968,0.059437,0,0,2.596283,5.413688,76.105776
1982,15.321581,18.356222,30.232226,63.888374,3.131148,3.265558,0.050627,0,0,2.663452,5.979637,73.099185
1983,15.894442,17.220836,30.052216,63.151858,3.202549,3.52726,0.06391,0,0.000028,2.904414,6.495612,72.970566
1984,17.070622,18.393613,31.053237,66.505984,3.552531,3.385811,0.080811,0.000055,0.000068,2.97112,6.437864,76.631701
1985,17.478428,17.703482,30.924732,66.09315,4.075563,2.970192,0.097421,0.000111,0.00006,3.016233,6.084017,76.392385
1986,17.260405,16.591364,32.19826,66.033275,4.380109,3.071179,0.107677,0.000147,0.000044,2.932095,6.11114,76.647005
1987,18.008451,17.639801,32.863733,68.520615,4.753933,2.634508,0.11227,0.000109,0.000037,2.874884,5.621807,79.054456
1988,18.846312,18.448393,34.222795,71.557051,5.586968,2.334265,0.106338,0.000094,0.000009,3.016049,5.456754,82.709172
1989,19.069762,19.601606,34.209296,72.911068,5.602161,2.837263,0.161539,0.054466,0.022033,3.159357,6.234658,84.785336
1990,19.172635,19.603267,33.551623,72.332303,6.10435,3.046391,0.170747,0.058768,0.029007,2.735112,6.040024,84.484565
1991,18.99167,20.032958,32.846032,71.880348,6.422132,3.015943,0.177626,0.061623,0.030796,2.781797,6.067785,84.437231
1992,19.122471,20.713632,33.524957,73.395686,6.479206,2.617436,0.178699,0.06288,0.029863,2.931678,5.820556,85.782181
1993,19.835148,21.229,33.646307,74.737564,6.410499,2.891613,0.185673,0.06519,0.030987,2.908172,6.081635,87.324608
1994,19.909463,21.728067,34.510378,76.206237,6.693877,2.683457,0.173464,0.067126,0.03556,3.027534,5.987142,89.040193
1995,20.088727,22.671139,34.401242,77.222169,7.075436,3.205307,0.152057,0.068233,0.03263,3.101142,6.559369,90.990829
1996,21.001914,23.084647,35.654752,79.764124,7.086674,3.589656,0.163359,0.069134,0.03344,3.156806,7.012394,94.000336
1997,21.445411,23.222716,36.129221,80.843788,6.596992,3.640458,0.166698,0.068166,0.033581,3.10522,7.014122,94.571106
1998,21.655744,22.830226,36.781225,81.33429,7.067809,3.297054,0.16845,0.067449,0.030853,2.92749,6.491296,94.981618
1999,21.622544,22.909227,37.802188,82.391651,7.610256,3.267575,0.170921,0.066066,0.045894,2.96329,6.513747,96.614577
2000,22.579528,23.823977,38.225624,84.694492,7.862349,2.811116,0.164364,0.063469,0.057057,3.008227,6.104234,98.776275
2001,21.914268,22.772558,38.148802,82.864887,8.028853,2.241858,0.164461,0.061674,0.069617,2.622356,5.159966,96.128863
